img_name,label,tweet,link
Arbys-i1062782215786979328.jpg,-1,We're feelin' the spirit of '76 https://t.co/YQqsnDJ2mQ,http://pbs.twimg.com/media/Dr-NIFBXQAEHpXW.jpg
Arbys-i1060562590357700609.jpg,-1,Why maintaining proper intervals is so important https://t.co/pGWsHf8S5d,http://pbs.twimg.com/tweet_video_thumb/DrfbyZdXQAAlUgo.jpg
Arbys-i1059475431227879428.jpg,-1,Having trouble growing out that 'stache? Use our handy guide and make this a Movember to remember. https://t.co/cs71VOeB81,http://pbs.twimg.com/media/DrPtCjbXcAETtYg.jpg
Arbys-i1058735553326137344.jpg,-1,Which sandwich should YOU buy to celebrate #NationalSandwichDay? https://t.co/TGCTLnNK1D,http://pbs.twimg.com/tweet_video_thumb/DrFUZqdXgAIFEgM.jpg
Arbys-i1058044649053585408.jpg,-1,@JalenandJacoby Far be it from us to deny the people what they want. #MakeMySandwich https://t.co/n663vx6CzM,http://pbs.twimg.com/media/Dq7t_2cX0AEe1nX.jpg
Arbys-i1057648398537498626.jpg,-1,The revolution needs help. Send fries. #LiftTogether https://t.co/eg6WPF4YWJ,http://pbs.twimg.com/media/Dq12W_yW4AEck93.jpg
Arbys-i1057053651712311296.jpg,-1,Picking a perfect 20 is hard  but some of these definitely hit our sweet spot. #PlayStationClassic https://t.co/OPZ2SpqTL9,http://pbs.twimg.com/media/DqtosM7XcAAn2ER.jpg
Arbys-i1055836448484659202.jpg,-1,You can become a hero! https://t.co/PefABkcWI5,http://pbs.twimg.com/media/DqR8VvXWkAAlOlX.jpg
Arbys-i1055795962621374467.jpg,-1,@MGolicJR57 You know where we stand... https://t.co/x81Dx5IhSh,http://pbs.twimg.com/media/DqbwdOXX4AMs0ok.jpg
Arbys-i1053329934192664578.jpg,-1,The soul still buns https://t.co/YMzuitLVSI,http://pbs.twimg.com/media/Dp4BpSmWkAAqrcF.jpg
Arbys-i1051850194025766912.jpg,-1,Prepping for our next surprising sandwich... https://t.co/8xTLNrHBjm,http://pbs.twimg.com/media/Dpje-gJXoAUw4yE.jpg
Arbys-i1049675870204452866.jpg,-1,On the hunt for our next sandwich... https://t.co/1fm4fgksPQ,http://pbs.twimg.com/media/DpEvWo-W0AgCNYc.jpg
Arbys-i1047139139844542466.jpg,-1,Get equipped with... Rush Coil? https://t.co/PsYghaAiPS,http://pbs.twimg.com/media/Dogqe_uWkAErKxW.jpg
Arbys-i1045383854863863809.jpg,-1,@PatMcAfeeShow This sandwich has a heck of a kick to it. #MakeMySandwich https://t.co/0MZsB7sHWH,http://pbs.twimg.com/media/DoHzEuIXgAYXFll.jpg
Arbys-i1045023385724628992.jpg,-1,@JRsBBQ Good God almighty! This is truly the upper crust of the squared circle. #MakeMySandwich https://t.co/m6jZmC2bRK,http://pbs.twimg.com/media/DoCrOmUW0AAWCMy.jpg
Arbys-i1044995168414429184.jpg,-1,@Ubisoft @assassinscreed Definitely going with Kassandwich-- err  Kassandra #MakeMySandwich https://t.co/kI7JWBmRBm,http://pbs.twimg.com/media/DoCRkF-UYAA1p_M.jpg
Arbys-i1044964816178302976.jpg,-1,Long road ahead  Diaz boys. Pack plenty of sandwiches. https://t.co/33LqPQHQKg,http://pbs.twimg.com/media/DoBon4HX0AAip5v.jpg
Arbys-i1044662828798365696.jpg,-1,Squad E has the cutest delivery boy https://t.co/gCl8pATLdf,http://pbs.twimg.com/media/Dn8q_DnWkAAi0ST.jpg
Arbys-i1044609433169522688.jpg,-1,We're making @Arbys sandwich portraits RIGHT NOW on Facebook. Watch here: https://t.co/dRGp7OWkEY #MakeMySandwich https://t.co/M61Tky1EBS,http://pbs.twimg.com/ext_tw_video_thumb/1044609274025037824/pu/img/6aL0JA1vC9il_-Tt.jpg
Arbys-i1042949089476988929.jpg,-1,@telltalegames Didn't think we'd remember  didja? #MakeMySandwich https://t.co/rtK8KlWUdc,http://pbs.twimg.com/media/DnlMqAkV4AAPHU6.jpg
Arbys-i1042948469726633984.jpg,-1,@ScufGaming Might wanna wipe your hands off after using this skin... #MakeMySandwich https://t.co/GSndDYGR0Q,http://pbs.twimg.com/media/DnlMGD9V4AA7RGL.jpg
Arbys-i1042855237562892290.jpg,-1,@smokedgoldeye Only one way to find out...#MakeMySandwich https://t.co/s1ANKWFpby,http://pbs.twimg.com/media/Dnj3TxCX0AAo8iz.jpg
Arbys-i1042840699752914944.jpg,-1,@akidearest You re on notice. #MakeMySandwich https://t.co/jY2Ldrns0c,http://pbs.twimg.com/media/DnjqFrXW0AEx2V1.jpg
